from,to
JL,NL
JL,SU
JL,TTP
JL,EA
JL,CA
JL,USCM
MT,BG
MT,RC
MT,VLC
MT,VZ
MT,LCVB
MT,SAP
MT,VCM
ET,NL
ET,TTP
ET,AA
ET,EUT
ET,LBA
HK,DE
HK,VU
HK,OS
HK,BS
IV,B
IV,AK
IV,RCC
IV,IBF
IV,CL
IV,RRV
IV,CSMT
JN,PL
JN,GBL
JN,BPC
JN,KSPB
JN,SPS
SL,USA
SL,KAF
SL,BEY
SL,AVC
SL,PSU
MSP,E
MSP,BVMB
MSP,DSC
MSP,BSBC
MSP,STM
MSP,DIT
MSP,GHO
MSP,CVB
HJ,NL
HJ,VST
HJ,VCS
HD,DE
HD,AMS
HD,BS
KR,USA
KR,UOA
KR,BA
KR,MNE
LB,DE
LB,FVTM
LB,BS
LB,VCOB
RK,FIN
RK,ONKB
RK,LPV
RK,LPK
RK,HL
RK,KIM
RK,SP
LG,DE
LG,EJS
LG,BS
